publishedAt,date,source.name,title,description,title_len,description_len,url
2026-05-28 06:02:53+00:00,2026-05-28,Dailymail.com,John Lewis has all your heatwave essentials! Here's how to look cool in the sun (from just £12),"From linen that looks like denim, to the ultimate wedding guest dress and all the handbag gadgets and gizmos that will blast you with cool air on the go, here are five outfits to get you through the heatwave.",95,208,https://www.dailymail.com/lifestyle/fashion/article-15851833/uk-heatwave-outfits-summer-style-guide.html
2026-05-27 17:04:08+00:00,2026-05-27,BBC News,A9 reopens after Tesco delivery lorry bursts into flames,The road had been closed south of Dunkeld in Perthshire after a supermarket delivery lorry was destroyed by fire.,56,113,https://www.bbc.com/news/articles/c4g0yzylk0jo
2026-05-27 11:16:16+00:00,2026-05-27,Dailymail.com,"How I dropped from 17.5st to 10st WITHOUT getting loose, saggy skin. So many women struggle with unsightly wrinkles and flapping folds left by extreme weight loss. Here's how to avoid them","On this trip to Greece I couldn't relax. Other holidaymakers looked slim and toned in their bikinis. I wore a bright orange swimsuit and, at 17st, I felt deeply uncomfortable.",188,175,https://www.dailymail.com/lifestyle/fitness-wellbeing/article-15851861/dropped-weight-without-loose-saggy-skin.html
2026-05-27 10:55:12+00:00,2026-05-27,Thedailymash.co.uk,How to wank safely in a heatwave,HORNY in extreme heat? Drawn to rubbing one out despite the risks? Take these precautions to avoid scandalous fatality.,32,119,https://www.thedailymash.co.uk/news/health/how-to-wank-safely-in-a-heatwave-20260527266615
2026-05-27 10:31:00+00:00,2026-05-27,Dazed,Take Back Power: the activists liberating food from supermarkets,"Since forming last December, the police have arrested over 50 people from the direct action group. Below, member Jo discusses spiralling wealth inequality, the rise of fascism, and why signing petitions doesn’t cut it anymore",64,225,https://www.dazeddigital.com/life-culture/article/70329/1/meet-take-back-power-the-group-liberating-food-from-supermarkets?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=take-back-power-the-activists-liberating-food-from-supermarkets
2026-05-27 10:31:00+00:00,2026-05-27,Dazed,"Take Back Power, the activist group liberating food from supermarkets","Since forming last December, the police have arrested over 50 people from the direct action group. Below, member Jo discusses spiralling wealth inequality, the rise of fascism, and why signing petitions doesn’t cut it anymore",69,225,https://www.dazeddigital.com/life-culture/article/70329/1/meet-take-back-power-the-group-liberating-food-from-supermarkets?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=take-back-power-the-activist-group-liberating-food-from-supermarkets
2026-05-27 07:49:58+00:00,2026-05-27,Dailymail.com,"Rachel Reeves' list of 'everyday essentials' that will benefit from tariff cuts to lower cost of living includes avocados, quinoa and oatmilk","The Government published the list, which also includes olive oil, chocolate and baked beans, as part of the Chancellor's 'Great British Summer Savings' scheme.",141,159,https://www.dailymail.com/news/article-15851229/Rachel-Reeves-list-everyday-essentials-benefit-tariff-cuts.html
2026-05-26 16:50:03+00:00,2026-05-26,Bluegrasslive.com,"Cosmos Health Releases 2026–2029 Guidance: Targeting $200M Revenue, $71M Gross Profit, and $44M Adjusted EBITDA by 2029","Cosmos Health Releases 2026–2029 Guidance: Targeting $200M Revenue, $71M Gross Profit, and $44M Adjusted EBITDA by 2029bluegrasslive.com",119,136,https://smb.bluegrasslive.com/article/Cosmos-Health-Releases-2026-2029-Guidance-Targeting-dollar200M-Revenue-dollar71M-Gross-Profit-and-dollar44M-Adjusted-EBITDA-by-2029-Building-an-Innovative-High-Margin-Healthcare-Platform-with-Strong-Cash-Generation?storyId=6a15a25e004597ee6ba129f9
2026-05-26 16:41:22+00:00,2026-05-26,Dailymail.com,"As thousands of 20-somethings desperately search for 'gold dust' graduate jobs, here's the ULTIMATE top-to-bottom guide to securing a position - from acing an interview, nailing your CV, and how to hack LinkedIn to guarantee to be seen","Job hunting is never easy.  Stories abound of job hunters with good degrees from top-flight universities, applying for over 500 roles and not even getting a single interview.",235,174,https://www.dailymail.com/news/article-15849505/As-thousands-20-somethings-desperately-search-gold-dust-graduate-jobs-heres-ULTIMATE-bottom-guide-securing-position-acing-interview-nailing-CV-hack-LinkedIn-guarantee-seen.html
2026-05-26 13:34:00+00:00,2026-05-26,GlobeNewswire,"Cosmos Health Releases 2026–2029 Guidance: Targeting $200M Revenue, $71M Gross Profit, and $44M Adjusted EBITDA by 2029 — Building an Innovative, High-Margin Healthcare Platform with Strong Cash Generation","Cosmos Health Releases 2026–2029 Guidance: Targeting $200M Revenue, $71M Gross Profit, and $44M Adjusted EBITDA by 2029....",205,123,https://www.globenewswire.com/news-release/2026/05/26/3301211/0/en/Cosmos-Health-Releases-2026-2029-Guidance-Targeting-200M-Revenue-71M-Gross-Profit-and-44M-Adjusted-EBITDA-by-2029-Building-an-Innovative-High-Margin-Healthcare-Platform-with-Strong.html
2026-05-26 10:30:00+00:00,2026-05-26,Theregister.com,"Big Tech extracts retirement-scale wealth from UK internet users, research shows","Britain's 'free' internet economy is powered by invisible data extraction that feeds advertisers, AI firms, and digital platforms",80,129,https://www.theregister.com/off-prem/2026/05/26/big-tech-extracts-retirement-scale-wealth-from-uk-internet-users-research-shows/5246048
2026-05-26 10:27:37+00:00,2026-05-26,Dailymail.com,Too posh for prosecco but not on a champagne budget? Crémant is the answer... as sales of the French sparkling wine soar at Waitrose and Tesco,"Dry and budget-friendly, the French premium sparkling is the perfect choice for drinkers avoiding the sickly-sweet taste of Prosecco and the steep price tag that accompanies champagne.",142,184,https://www.dailymail.com/lifestyle/food-drink/article-15848517/Too-posh-prosecco-not-champagne-budget-Cr-mant-answer-sales-French-sparkling-wine-soar-Waitrose-Tesco.html
