com_num,name,sic_code
16753466,(ALWAYS) FOLLOW THE MONEY LTD,69201
14687724,(AMS) LBP PLANT HIRE LTD,77320
14691998,(AMS) LINCOLNSHIRE BLOCK PAVERS LTD,99999
13612392,(AND)MEDIATION LTD,69109
13612392,(AND)MEDIATION LTD,96090
03663860,(AQ) LIMITED,61900
04250076,(AQ) NETWORKS LIMITED,61900
12333689,(ASG) AFRICA SOURCING GROUP LTD,46499
12333689,(ASG) AFRICA SOURCING GROUP LTD,52290
12333689,(ASG) AFRICA SOURCING GROUP LTD,70229
12333689,(ASG) AFRICA SOURCING GROUP LTD,81210
15554571,(B4B) BUSINESS 4 BUSINESS CONSULTANCY LTD,69201
15554571,(B4B) BUSINESS 4 BUSINESS CONSULTANCY LTD,69203
15554571,(B4B) BUSINESS 4 BUSINESS CONSULTANCY LTD,70221
15554571,(B4B) BUSINESS 4 BUSINESS CONSULTANCY LTD,70229
12908977,(BE) BRITISH EXTRUSIONS LTD,25730
16610015,(BG) BEGWAN CONSTRUCTION LTD,41201
16610015,(BG) BEGWAN CONSTRUCTION LTD,41202
15517118,(BY)BUILDSHOP LTD,74100
12930070,(CA)NNECTION LIMITED,78300
14430354,(CA)NTRACTOR LIMITED,69201
07629726,(CADUK) THE COMPETENCE ASSESSMENT & DEVELOPMENT CENTRE UK LTD,85600
15091731,(CAREABLE CARE SERVICES) LIMITED,87100
15091731,(CAREABLE CARE SERVICES) LIMITED,87900
09041461,(CGN) CAPITAL GROWTH NETWORK LTD,64303
09041461,(CGN) CAPITAL GROWTH NETWORK LTD,64304
09041461,(CGN) CAPITAL GROWTH NETWORK LTD,64929
09041461,(CGN) CAPITAL GROWTH NETWORK LTD,66300
17182809,(COMPANY RE-DOMICILED FROM BRITISH VIRGIN ISLANDS) LUX TRADE LTD,99999
13142517,(D) FITZHENRY HOLDINGS LIMITED,70229
